Tx_Loc_1,Tx_Loc_2,Tx_Loc_3,Rx_Loc_1,Rx_Loc_2,Rx_Loc_3,Distance_m,Delay_s,isLoS,PathLoss_dB,Reflections,PhaseShift_rad
41.878204,-87.627722,363.773348403163,41.878204,-87.627722,165.773348403163,198,6.60456908492341e-07,1,107.324247653958,0,4.98531663632784
41.878204,-87.627722,363.773348403163,41.878204,-87.627722,165.773348403163,201.992633825369,6.73774901386507e-07,0,107.283218866917,1,4.3808820745604
41.878204,-87.627722,363.773348403163,41.878204,-87.627722,165.773348403163,478.196479473769,1.59509176002609e-06,0,114.982806343005,3,3.57689724751411
41.878204,-87.627722,363.773348403163,41.878204,-87.627722,165.773348403163,479.964857070572,1.60099043275656e-06,0,114.407874025783,4,4.60002747846521
