Tx_Loc_1,Tx_Loc_2,Tx_Loc_3,Rx_Loc_1,Rx_Loc_2,Rx_Loc_3,Distance_m,Delay_s,isLoS,PathLoss_dB,Reflections,PhaseShift_rad
40.702647,-74.008907,180.944416454062,40.702647,-74.008907,-17.0555835459381,198,6.60456908492341e-07,1,107.324247653958,0,4.98531663631329
40.702647,-74.008907,180.944416454062,40.702647,-74.008907,-17.0555835459381,199.261468672862,6.64664715057182e-07,0,107.379401353205,1,3.8454451036899
40.702647,-74.008907,180.944416454062,40.702647,-74.008907,-17.0555835459381,201.986930723959,6.73755877887892e-07,0,107.29635004216,1,1.03409254460585
40.702647,-74.008907,180.944416454062,40.702647,-74.008907,-17.0555835459381,203.20015052589,6.77802743542968e-07,0,106.125496678775,2,2.99594582265554
