Tx_Loc_1,Tx_Loc_2,Tx_Loc_3,Rx_Loc_1,Rx_Loc_2,Rx_Loc_3,Distance_m,Delay_s,isLoS,PathLoss_dB,Reflections,PhaseShift_rad
41.876841,-87.63676,355.209761228412,41.876841,-87.63676,157.209761228412,198,6.60456908492341e-07,1,107.324247653958,0,4.98531663635694
41.876841,-87.63676,355.209761228412,41.876841,-87.63676,157.209761228412,201.999012473789,6.73796178267396e-07,0,105.404019826021,1,1.84091815643781
41.876841,-87.63676,355.209761228412,41.876841,-87.63676,157.209761228412,277.543840284877,9.25786599624456e-07,0,110.25627711258,2,0.155756569636608
41.876841,-87.63676,355.209761228412,41.876841,-87.63676,157.209761228412,277.543840329095,9.2578659977195e-07,0,110.25627711278,2,0.155782643729211
41.876841,-87.63676,355.209761228412,41.876841,-87.63676,157.209761228412,365.828145041518,1.22027134198792e-06,0,112.654716051525,2,3.75467907597018
41.876841,-87.63676,355.209761228412,41.876841,-87.63676,157.209761228412,365.828145050677,1.22027134201847e-06,0,112.654709714315,2,3.75468354468872
41.876841,-87.63676,355.209761228412,41.876841,-87.63676,157.209761228412,280.408715060041,9.35342793246789e-07,0,109.965786699636,3,3.75866985855823
41.876841,-87.63676,355.209761228412,41.876841,-87.63676,157.209761228412,280.409205749435,9.35344430010429e-07,0,109.965489445559,3,4.04662427651778
41.876841,-87.63676,355.209761228412,41.876841,-87.63676,157.209761228412,367.983741964307,1.22746163935954e-06,0,112.42386434378,3,5.81761444710219
41.876841,-87.63676,355.209761228412,41.876841,-87.63676,157.209761228412,367.98392221974,1.22746224062695e-06,0,112.423323113687,3,5.92339352158388
