Tx_Loc_1,Tx_Loc_2,Tx_Loc_3,Rx_Loc_1,Rx_Loc_2,Rx_Loc_3,Distance_m,Delay_s,isLoS,PathLoss_dB,Reflections,PhaseShift_rad
41.87689,-87.632242,362.383271941915,41.87689,-87.632242,164.383271941915,198,6.60456908492341e-07,1,107.324247653958,0,4.98531663632784
41.87689,-87.632242,362.383271941915,41.87689,-87.632242,164.383271941915,198.465744774923,6.62010465836747e-07,0,107.34465081582,1,1.84124612898046
41.87689,-87.632242,362.383271941915,41.87689,-87.632242,164.383271941915,200.039986606626,6.67261571358896e-07,0,107.413279212299,1,2.03573962963343
41.87689,-87.632242,362.383271941915,41.87689,-87.632242,164.383271941915,201.996535617934,6.73787916365574e-07,0,106.952660295803,1,0.387408813682967
41.87689,-87.632242,362.383271941915,41.87689,-87.632242,164.383271941915,202.422983341577,6.75210392856436e-07,0,107.51609862363,2,5.59831782949519
41.87689,-87.632242,362.383271941915,41.87689,-87.632242,164.383271941915,202.447573841521,6.75292417935079e-07,0,105.231560170958,2,1.1793665640233
41.87689,-87.632242,362.383271941915,41.87689,-87.632242,164.383271941915,204.008109321616,6.80497803989506e-07,0,105.211203603997,2,5.89684210692139
41.87689,-87.632242,362.383271941915,41.87689,-87.632242,164.383271941915,205.677914055914,6.86067673043041e-07,0,107.654696771648,3,5.62247898766558
41.87689,-87.632242,362.383271941915,41.87689,-87.632242,164.383271941915,206.350765601628,6.8831206421353e-07,0,105.958613803286,3,4.63572023663647
41.87689,-87.632242,362.383271941915,41.87689,-87.632242,164.383271941915,209.506375714424,6.98838046534261e-07,0,106.746730163056,4,2.92358557542743
41.87689,-87.632242,362.383271941915,41.87689,-87.632242,164.383271941915,243.388092606564,8.11855288923125e-07,0,109.114812957943,4,5.95702324566036
41.87689,-87.632242,362.383271941915,41.87689,-87.632242,164.383271941915,243.388092669806,8.11855289134079e-07,0,109.114812944625,4,5.95706146335532
41.87689,-87.632242,362.383271941915,41.87689,-87.632242,164.383271941915,246.591953492232,8.2254221849781e-07,0,108.816657671561,5,1.14428002888732
41.87689,-87.632242,362.383271941915,41.87689,-87.632242,164.383271941915,246.592623768015,8.22544454297161e-07,0,108.804322053992,5,1.53762254402087
